pays,continent
Afghanistan,C.Asia
Angola,Africa
Albania,Eu-oth
Argentina,S.America
Armenia,ex-URSS
Antigua and Barbuda,Caribbean
Australia,Pacific
Austria,UE-bef-2004
Azerbaijan,ex-URSS
Burundi,Africa
Belgium,UE-bef-2004
Benin,Africa
Burkina Faso,Africa
Bangladesh,S.Asia
Bulgaria,UE-aft-2004
Bosnia and Herzegovina,Eu-oth
Byelarus,ex-URSS
Belize,C.America
Bolivia,S.America
Brazil,S.America
Barbados,Caribbean
Bhutan,S.Asia
Botswana,Africa
Switzerland,Eu-oth
Chile,S.America
China,E.Asia
Ivory Coast,Africa
Cameroon,Africa
Colombia,S.America
Cape Verde,Africa
Costa Rica,C.America
Cyprus,UE-aft-2004
Czech Republic,UE-aft-2004
Germany,UE-bef-2004
Djibouti,Africa
Dominica,Caribbean
Denmark,UE-bef-2004
Dominican Republic,Caribbean
Algeria,N.Africa
Ecuador,S.America
Egypt,N.Africa
Spain,UE-bef-2004
Estonia,UE-aft-2004
Ethiopia,Africa
Finland,UE-bef-2004
Fiji,Pacific
France,UE-bef-2004
United Kingdom,UE-bef-2004
Georgia,ex-URSS
Ghana,Africa
Guinea,Africa
"Gambia, The",Africa
Guinea-Bissau,Africa
Greece,UE-bef-2004
Grenada,Caribbean
Guatemala,C.America
Guyana,S.America
Hong Kong,E.Asia
Honduras,C.America
Croatia,UE-aft-2004
Haiti,Caribbean
Hungary,UE-aft-2004
Indonesia,SE.Asia
India,S.Asia
Ireland,UE-bef-2004
Iran,M.East
Iraq,M.East
Iceland,Eu-oth
Israel,M.East
Italy,UE-bef-2004
Jamaica,Caribbean
Jordan,M.East
Japan,E.Asia
Kazakhstan,C.Asia
Kenya,Africa
Kyrgyzstan,C.Asia
Cambodia,SE.Asia
St. Kitts and Nevis,Caribbean
South Korea,E.Asia
Laos,SE.Asia
Lebanon,M.East
Liberia,Africa
St. Lucia,Caribbean
Sri Lanka,S.Asia
Lesotho,Africa
Lithuania,UE-aft-2004
Luxembourg,UE-bef-2004
Latvia,UE-aft-2004
Macau,E.Asia
Morocco,N.Africa
Moldova,ex-URSS
Maldives,S.Asia
Mexico,C.America
Macedonia,Eu-oth
Mali,Africa
Malta,UE-aft-2004
Montenegro,Eu-oth
Mongolia,E.Asia
Mozambique,Africa
Mauritius,Africa
Malawi,Africa
Malaysia,SE.Asia
Namibia,Africa
Niger,Africa
Nigeria,Africa
Nicaragua,C.America
Netherlands,UE-bef-2004
Norway,Eu-oth
Nepal,S.Asia
New Zealand,Pacific
Oman,M.East
Pakistan,S.Asia
Panama,C.America
Peru,S.America
Philippines,SE.Asia
Papua New Guinea,Pacific
Poland,UE-aft-2004
Portugal,UE-bef-2004
Paraguay,S.America
Romania,UE-aft-2004
Russia,ex-URSS
Rwanda,Africa
Saudi Arabia,M.East
Sudan,Africa
Senegal,Africa
Solomon Islands,Pacific
Sierra Leone,Africa
El Salvador,C.America
Serbia,Eu-oth
Sao Tome and Principe,Africa
Suriname,S.America
Slovakia,UE-aft-2004
Slovenia,UE-aft-2004
Sweden,UE-bef-2004
Swaziland,Africa
Seychelles,Africa
Syria,M.East
Togo,Africa
Thailand,SE.Asia
Tajikistan,C.Asia
Tonga,Pacific
Trinidad and Tobago,Caribbean
Tunisia,N.Africa
Turkey,M.East
"Tanzania, United Republic of",Africa
Uganda,Africa
Ukraine,ex-URSS
Uruguay,S.America
United States,N.America
St. Vincent and the Grenadines,Caribbean
Venezuela,S.America
Vietnam,SE.Asia
Vanuatu,Pacific
Western Samoa,Pacific
Yemen,M.East
South Africa,Africa
Zambia,Africa
Aruba,Caribbean
Andorra,Eu-oth
United Arab Emirates,M.East
American Western Samoa,Pacific
Bahrain,M.East
"Bahamas, The",Caribbean
Bermuda,Caribbean
Brunei,SE.Asia
Central African Republic,Africa
Canada,N.America
Congo,Africa
Comoros,Africa
Cuba,Caribbean
Netherlands Antilles,Caribbean
Cayman Islands,Caribbean
Faroe Islands,Eu-oth
Federated States of Micronesia,Pacific
Gabon,Africa
Equatorial Guinea,Africa
Guam,Caribbean
Kiribati,Pacific
Kuwait,M.East
Libya,N.Africa
Liechtenstein,Eu-oth
Monaco,Eu-oth
Madagascar,Africa
Marshall Islands,Pacific
Myanmar (Burma),SE.Asia
Northern Mariana Islands,Pacific
Mauritania,N.Africa
New Caledonia,Pacific
Pacific Islands (Palau),Pacific
Puerto Rico,Caribbean
Gaza Strip,M.East
French Polynesia,Pacific
Qatar,M.East
Singapore,SE.Asia
San Marino,Eu-oth
Chad,Africa
Turkmenistan,C.Asia
Uzbekistan,C.Asia
Virgin Islands,Caribbean
Zimbabwe,Africa
